Gene	"Gene description"	Evidence	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"TAU score - Brain"	"Single Cell Type RNA - Astrocytes [nTPM]"	"Single Cell Type RNA - dendritic cells [nTPM]"	"Single Cell Type RNA - Excitatory neurons [nTPM]"	"Single Cell Type RNA - Inhibitory neurons [nTPM]"	"Single Cell Type RNA - Microglial cells [nTPM]"	"Single Cell Type RNA - Oligodendrocyte precursor cells [nTPM]"	"Single Cell Type RNA - Oligodendrocytes [nTPM]"	"Single Cell Type RNA - Schwann cells [nTPM]"
PIK3R3	"Phosphoinositide-3-kinase regulatory subunit 3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Adipocytes: 186.3;Endothelial cells: 140.5"	"Low region specificity"	"Detected in all"			0.24	14.9	3.2	25.2	53.5	58.2	20.8	6.6	34.2
PIK3R4	"Phosphoinositide-3-kinase regulatory subunit 4"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.07	17.6	8.5	27.5	29.0	19.7	20.8	30.6	9.0
PIK3R5	"Phosphoinositide-3-kinase regulatory subunit 5"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"bone marrow: 88.2"	"Cell type enhanced"	"Detected in some"		"dendritic cells: 34.4;Kupffer cells: 43.9;Langerhans cells: 47.1;Macrophages: 38.4;Microglial cells: 76.0;monocytes: 54.4;NK-cells: 36.3;Schwann cells: 25.0;T-cells: 24.3"	"Low region specificity"	"Detected in all"			0.28	0.6	34.4	0.3	0.5	76.0	0.9	0.3	25.0
PIK3R6	"Phosphoinositide-3-kinase regulatory subunit 6"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"lymphoid tissue: 2.8"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 8.5;granulocytes: 37.9;Hofbauer cells: 7.1;Late spermatids: 22.1;Microglial cells: 7.2"	"Low region specificity"	"Detected in many"			0.38	0.3	0.0	0.5	0.5	7.2	0.0	0.3	0.7
PILRB	"Paired immunoglobin like type 2 receptor beta"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Leydig cells: 30.7;NK-cells: 57.1;Rod photoreceptor cells: 35.7"	"Low region specificity"	"Detected in all"			0.14	0.0	16.3	0.0	0.0	0.0	0.0	0.0	2.7
PIM1	"Pim-1 proto-oncogene, serine/threonine kinase"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 216.1"	"Cell type enhanced"	"Detected in many"		"Plasma cells: 179.2;Suprabasal keratinocytes: 210.7"	"Low region specificity"	"Detected in all"			0.15	2.8	15.1	2.3	2.1	4.5	0.9	0.8	15.4
PIM2	"Pim-2 proto-oncogene, serine/threonine kinase"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 101.1;intestine: 85.1;lymphoid tissue: 160.0"	"Cell type enriched"	"Detected in many"	5	"Plasma cells: 671.7"	"Low region specificity"	"Detected in all"			0.11	0.9	115.9	2.3	2.1	0.0	0.5	1.0	44.9
PIM3	"Pim-3 proto-oncogene, serine/threonine kinase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Extravillous trophoblasts: 390.5;Langerhans cells: 445.8;Syncytiotrophoblasts: 408.0"	"Low region specificity"	"Detected in all"			0.07	6.2	107.7	9.9	6.4	6.3	6.1	19.1	90.7
PIMREG	"PICALM interacting mitotic regulator"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"lymphoid tissue: 13.6"	"Cell type enhanced"	"Detected in some"		"Granulosa cells: 4.0;Hofbauer cells: 6.2;Squamous epithelial cells: 5.0;Undifferentiated cells: 13.6"	"Low region specificity"	"Detected in many"			0.42	0.0	0.4	0.2	0.2	0.0	0.0	0.1	0.2
PIN1	"Peptidylprolyl cis/trans isomerase, NIMA-interacting 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 259.9"	"Cell type enriched"	"Detected in all"	4	"Late spermatids: 807.2"	"Low region specificity"	"Detected in all"			0.07	10.5	73.9	40.0	37.6	19.7	10.8	22.7	56.1
PIN4	"Peptidylprolyl cis/trans isomerase, NIMA-interacting 4"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Hepatocytes: 363.3;Proximal tubular cells: 305.3"	"Low region specificity"	"Detected in all"			0.06	13.3	33.8	17.2	17.0	7.2	15.6	25.4	30.9
PINLYP	"Phospholipase A2 inhibitor and LY6/PLAUR domain containing"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Distal tubular cells: 33.8;Proximal tubular cells: 19.0"	"Low region specificity"	"Detected in all"			0.14	2.2	3.4	0.5	1.0	1.8	4.7	0.4	6.2
PINX1	"PIN2 (TERF1) interacting telomerase inhibitor 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Oocytes: 52.2;Syncytiotrophoblasts: 45.6"	"Low region specificity"	"Detected in all"			0.11	0.0	9.0	0.0	0.0	0.0	0.0	0.0	6.8
PINX1	"PIN2 (TERF1) interacting telomerase inhibitor 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"cervix: 2.8;vagina: 5.4"	"Group enriched"	"Detected in some"	167	"Astrocytes: 11.8;Excitatory neurons: 24.1;Inhibitory neurons: 21.4;Microglial cells: 12.5;Oligodendrocyte precursor cells: 16.5;Oligodendrocytes: 14.3"	"Not detected"	"Not detected"			"Not detected"	11.8	0.0	24.1	21.4	12.5	16.5	14.3	0.0
PIP4K2A	"Phosphatidylinositol-5-phosphate 4-kinase type 2 alpha"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 247.3"	"Cell type enriched"	"Detected in many"	5	"Oligodendrocytes: 1475.1"	"Low region specificity"	"Detected in all"			0.15	80.5	69.0	63.3	59.5	136.0	157.5	1475.1	36.2
PIP4K2B	"Phosphatidylinositol-5-phosphate 4-kinase type 2 beta"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			0.11	20.4	15.7	32.4	27.8	17.9	20.8	22.3	12.6
PIP4K2C	"Phosphatidylinositol-5-phosphate 4-kinase type 2 gamma"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Late spermatids: 52.3"	"Low region specificity"	"Detected in all"			0.18	4.6	0.8	27.0	11.3	2.7	4.7	10.7	5.2
PIP5K1A	"Phosphatidylinositol-4-phosphate 5-kinase type 1 alpha"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.08	41.5	26.6	57.6	49.0	42.0	51.4	59.6	19.8
PIP5K1B	"Phosphatidylinositol-4-phosphate 5-kinase type 1 beta"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 114.5"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 100.8;Early spermatids: 114.9;Excitatory neurons: 82.1;Inhibitory neurons: 258.3;Muller glia cells: 97.1"	"Region enriched"	"Detected in all"	5	"choroid plexus: 209.2"	0.47	27.2	2.0	82.1	258.3	57.3	75.9	5.9	0.2
PIP5K1C	"Phosphatidylinositol-4-phosphate 5-kinase type 1 gamma"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 126.2"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 52.0"	"Low region specificity"	"Detected in all"			0.15	8.4	7.7	29.5	17.1	21.5	8.5	6.3	7.3
PIP5KL1	"Phosphatidylinositol-4-phosphate 5-kinase like 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enriched"	"Detected in many"	4	"Late spermatids: 33.8"	"Low region specificity"	"Detected in all"			0.30	0.3	1.8	0.9	1.6	0.0	0.0	0.1	0.3
PIR	Pirin	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 97.8;Melanocytes: 58.4;Syncytiotrophoblasts: 90.7"	"Low region specificity"	"Detected in all"			0.10	0.0	0.0	0.2	0.1	0.0	0.0	0.0	4.6
PIRT	"Phosphoinositide interacting regulator of transient receptor potential channels"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 11.4;intestine: 3.8"	"Cell type enriched"	"Detected in single"	4	"Astrocytes: 2.5"	"Low region specificity"	"Detected in all"			0.25	2.5	0.0	0.4	0.5	0.0	0.0	0.2	0.0
PISD	"Phosphatidylserine decarboxylase"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Cytotrophoblasts: 220.5;Syncytiotrophoblasts: 210.1"	"Low region specificity"	"Detected in all"			0.09	16.4	8.3	38.9	34.0	8.9	15.1	18.5	10.2
PITPNA	"Phosphatidylinositol transfer protein alpha"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Syncytiotrophoblasts: 124.6"	"Low region specificity"	"Detected in all"			0.06	27.2	19.8	41.0	44.5	34.9	11.3	14.9	32.7
PITPNB	"Phosphatidylinositol transfer protein beta"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.03	54.8	36.3	50.0	43.8	65.3	57.1	62.4	31.1
PITPNC1	"Phosphatidylinositol transfer protein cytoplasmic 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 1191.2;Inhibitory neurons: 317.0;Oligodendrocyte precursor cells: 264.1"	"Low region specificity"	"Detected in all"			0.08	1191.2	2.2	85.4	317.0	98.4	264.1	9.1	10.5
PITPNM1	"Phosphatidylinositol transfer protein membrane associated 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Ciliated cells: 58.6;Cone photoreceptor cells: 79.9;Distal enterocytes: 52.1"	"Low region specificity"	"Detected in all"			0.15	1.9	0.8	4.9	6.3	9.8	0.5	0.4	9.3
PITPNM2	"Phosphatidylinositol transfer protein membrane associated 2"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	6	"lymphoid tissue: 83.0"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 31.9;Excitatory neurons: 49.6;Inhibitory neurons: 39.5;Late spermatids: 85.9"	"Low region specificity"	"Detected in all"			0.13	31.9	0.0	49.6	39.5	9.8	20.8	1.7	2.8
PITPNM3	"PITPNM family member 3"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 38.4;lymphoid tissue: 59.4"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 19.8;Inhibitory neurons: 23.2"	"Low region specificity"	"Detected in all"			0.24	3.4	0.0	19.8	23.2	2.7	0.5	1.5	0.0
PITRM1	"Pitrilysin metallopeptidase 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 179.8;Late spermatids: 119.7;Oocytes: 86.8"	"Low region specificity"	"Detected in all"			0.07	12.7	12.9	17.8	17.2	6.3	10.4	13.6	12.7
PITX1	"Paired like homeodomain 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 691.6;vagina: 193.0"	"Cell type enhanced"	"Detected in many"		"Basal keratinocytes: 401.3;Basal squamous epithelial cells: 509.9;Salivary duct cells: 209.7;Serous glandular cells: 296.7;Squamous epithelial cells: 1175.0;Suprabasal keratinocytes: 1121.3"	"Region enriched"	"Detected in all"	4	"choroid plexus: 9.6"	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
PITX2	"Paired like homeodomain 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"placenta: 40.6;skeletal muscle: 41.6;tongue: 27.0;urinary bladder: 28.5"	"Cell type enhanced"	"Detected in many"		"Basal keratinocytes: 28.8;Cardiomyocytes: 18.5;Paneth cells: 27.1;Proximal enterocytes: 39.6;Skeletal myocytes: 70.3;Smooth muscle cells: 38.2;Suprabasal keratinocytes: 36.9"	"Group enriched"	"Detected in some"	4	"hypothalamus: 29.9;thalamus: 10.4"	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PIWIL3	"Piwi like RNA-mediated gene silencing 3"	"Evidence at protein level"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	4	"Early spermatids: 23.2;Oocytes: 30.9"	"Not detected"	"Not detected"			"Not detected"	0.3	0.0	0.3	0.3	0.0	0.0	0.4	0.0
PIWIL4	"Piwi like RNA-mediated gene silencing 4"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 24.0"	"Cell type enhanced"	"Detected in many"		"Intestinal goblet cells: 8.6;Spermatogonia: 14.4"	"Low region specificity"	"Detected in all"			0.15	3.1	0.8	5.3	4.7	3.6	4.7	5.6	0.0
PJA1	"Praja ring finger ubiquitin ligase 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"epididymis: 156.1"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 52.1;Late spermatids: 50.4"	"Low region specificity"	"Detected in all"			0.12	2.8	2.0	7.8	7.9	2.7	4.7	3.4	15.8
PJA2	"Praja ring finger ubiquitin ligase 2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.05	67.5	68.5	153.7	120.6	63.5	57.1	103.9	84.6
PKD2	"Polycystin 2, transient receptor potential cation channel"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 124.7;Inhibitory neurons: 142.7;Microglial cells: 91.3;Oligodendrocyte precursor cells: 167.9;Oligodendrocytes: 204.2"	"Low region specificity"	"Detected in all"			0.10	56.4	6.4	124.7	142.7	91.3	167.9	204.2	22.8
PKD2L1	"Polycystin 2 like 1, transient receptor potential cation channel"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"lymphoid tissue: 7.7;retina: 12.9"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 5.0;Early spermatids: 10.3;Hofbauer cells: 13.7;Horizontal cells: 19.5;Kupffer cells: 9.7;Late spermatids: 21.6"	"Low region specificity"	"Detected in some"			0.63	0.6	0.0	2.2	0.4	0.0	0.0	0.1	0.0
PKD2L2	"Polycystin 2 like 2, transient receptor potential cation channel"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"testis: 7.9"	"Group enriched"	"Detected in many"	4	"Early spermatids: 58.8;Spermatocytes: 43.1"	"Low region specificity"	"Detected in all"			0.13	4.3	0.4	4.8	5.4	1.8	3.3	5.6	4.7
PKIG	"CAMP-dependent protein kinase inhibitor gamma"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Cardiomyocytes: 229.0"	"Low region specificity"	"Detected in all"			0.06	25.4	18.8	63.7	40.9	21.5	24.1	23.7	22.6
PKLR	"Pyruvate kinase L/R"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"bone marrow: 19.3;kidney: 24.2;liver: 89.7"	"Group enriched"	"Detected in some"	9	"Erythroid cells: 61.0;Hepatocytes: 50.4;Late spermatids: 24.5;Proximal enterocytes: 34.2;Proximal tubular cells: 36.8"	"Low region specificity"	"Detected in some"			0.59	0.6	0.0	1.2	1.2	0.9	0.0	0.5	0.0
PKM	"Pyruvate kinase M1/2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 3889.6;tongue: 2564.9"	"Cell type enhanced"	"Detected in all"		"Basal respiratory cells: 1894.9;Cone photoreceptor cells: 1779.0;Extravillous trophoblasts: 1559.9;Late spermatids: 1768.7"	"Low region specificity"	"Detected in all"			0.07	102.2	79.0	87.2	93.6	36.7	50.0	31.1	180.9
PKMYT1	"Protein kinase, membrane associated tyrosine/threonine 1"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 27.3;testis: 55.3"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 23.3;Erythroid cells: 29.1;Extravillous trophoblasts: 54.9;Plasma cells: 23.9;Spermatocytes: 113.3;Spermatogonia: 29.8"	"Low region specificity"	"Detected in many"			0.38	0.0	1.6	0.4	0.2	0.0	0.0	0.3	1.5
PKN1	"Protein kinase N1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"monocytes: 215.7"	"Low region specificity"	"Detected in all"			0.03	16.4	33.2	3.4	8.2	17.0	7.1	11.1	43.8
PKN2	"Protein kinase N2"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			0.08	97.2	43.2	129.7	125.3	170.0	109.9	136.2	52.4
PKN3	"Protein kinase N3"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Adipocytes: 25.1;Breast glandular cells: 15.2;Endothelial cells: 20.4;Microglial cells: 12.5"	"Low region specificity"	"Detected in all"			0.23	0.3	2.2	0.3	0.2	12.5	0.0	0.1	1.9
PKNOX1	"PBX/knotted 1 homeobox 1"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 144.1;Spermatocytes: 89.4"	"Low region specificity"	"Detected in all"			0.17	26.6	8.9	29.3	26.0	16.1	25.9	38.0	6.4
PKNOX2	"PBX/knotted 1 homeobox 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"tongue: 34.9"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 29.7;Early spermatids: 30.7;Excitatory neurons: 128.6;Inhibitory neurons: 131.7;Oligodendrocyte precursor cells: 80.2"	"Low region specificity"	"Detected in all"			0.22	29.7	0.0	128.6	131.7	21.5	80.2	3.5	5.9
PKP1	"Plakophilin 1"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"esophagus: 405.0;skin 1: 681.7;vagina: 194.4"	"Group enriched"	"Detected in many"	4	"Basal keratinocytes: 312.3;Squamous epithelial cells: 255.8;Suprabasal keratinocytes: 741.7"	"Low region specificity"	"Detected in some"			0.69	0.3	0.0	0.6	0.1	0.0	0.0	0.1	0.0
PKP2	"Plakophilin 2"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 191.1"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 542.9;Extravillous trophoblasts: 202.5;monocytes: 319.4;Salivary duct cells: 178.6"	"Low region specificity"	"Detected in all"			0.36	0.3	14.6	1.2	55.8	4.5	1.9	1.0	112.2
PKP3	"Plakophilin 3"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 286.1;skin 1: 215.9"	"Cell type enhanced"	"Detected in many"		"Basal keratinocytes: 144.7;Distal enterocytes: 292.7;Extravillous trophoblasts: 188.1;Proximal enterocytes: 181.7;Suprabasal keratinocytes: 353.9"	"Low region specificity"	"Detected in some"			0.40	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0
PKP4	"Plakophilin 4"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	7	"brain: 377.9"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 252.2;Inhibitory neurons: 250.2;Oligodendrocyte precursor cells: 220.7;Oligodendrocytes: 804.9"	"Low region specificity"	"Detected in all"			0.11	27.2	4.2	252.2	250.2	156.6	220.7	804.9	9.8
PLA1A	"Phospholipase A1 member A"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 88.2;epididymis: 135.1;parathyroid gland: 63.7;seminal vesicle: 64.9"	"Cell type enhanced"	"Detected in many"		"Basal prostatic cells: 70.5;Collecting duct cells: 19.4;Endothelial cells: 16.2;Hepatocytes: 22.9;Langerhans cells: 19.7;Peritubular cells: 13.5;Skeletal myocytes: 14.6"	"Low region specificity"	"Detected in all"			0.41	0.0	0.0	0.2	0.1	4.5	0.0	0.0	2.3
PLA2G15	"Phospholipase A2 group XV"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 56.2"	"Cell type enhanced"	"Detected in many"		"Hofbauer cells: 103.4;Syncytiotrophoblasts: 45.5"	"Low region specificity"	"Detected in all"			0.12	3.4	3.0	6.7	6.4	9.8	5.2	3.6	2.0
PLA2G3	"Phospholipase A2 group III"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"esophagus: 13.4;skin 1: 14.9;vagina: 6.9"	"Cell type enhanced"	"Detected in some"		"Alveolar cells type 2: 17.9;Basal keratinocytes: 4.1;Breast glandular cells: 7.5;Suprabasal keratinocytes: 20.3"	"Low region specificity"	"Detected in many"			0.64	1.5	0.0	0.1	0.1	0.0	0.0	0.0	0.0
PLA2G4A	"Phospholipase A2 group IVA"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"parathyroid gland: 84.3;seminal vesicle: 46.6"	"Cell type enhanced"	"Detected in many"		"Basal prostatic cells: 64.3;Microglial cells: 110.0;Secretory cells: 30.4"	"Low region specificity"	"Detected in all"			0.18	0.3	5.6	7.8	5.6	110.0	1.9	0.4	2.0
PLA2G4C	"Phospholipase A2 group IVC"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"retina: 76.4;skeletal muscle: 64.3"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 74.6;Muller glia cells: 48.8;Oligodendrocytes: 127.6;Rod photoreceptor cells: 128.7;Skeletal myocytes: 83.9"	"Low region specificity"	"Detected in all"			0.19	29.1	0.8	30.5	33.2	14.3	23.6	127.6	6.3
PLA2G4D	"Phospholipase A2 group IVD"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"prostate: 18.5;skin 1: 15.6;vagina: 21.8"	"Cell type enriched"	"Detected in some"	6	"Suprabasal keratinocytes: 14.0"	"Low region specificity"	"Detected in single"			0.64	0.0	0.0	0.2	0.1	0.0	0.0	0.0	0.0
